14:49:03:889 [WARN]	SSL certificate signed by unknown CA
14:49:03:890 [WARN]	SSL certificate signed by unknown CA
14:49:03:890 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:03:891 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:03:895 [WARN]	SSL certificate signed by unknown CA
14:49:03:895 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:03:895 [WARN]	SSL certificate signed by unknown CA
14:49:03:896 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:03:901 [WARN]	SSL certificate signed by unknown CA
14:49:03:901 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:03:902 [WARN]	SSL certificate signed by unknown CA
14:49:03:903 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:03:904 [WARN]	SSL certificate signed by unknown CA
14:49:03:904 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:03:905 [WARN]	SSL certificate signed by unknown CA
14:49:03:905 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:03:911 [WARN]	SSL certificate signed by unknown CA
14:49:03:912 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:49:03:912 [WARN]	SSL certificate signed by unknown CA
14:49:03:912 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
